file,verse
pt0101.htm,1
pt0101.htm,2
pt0101.htm,3
pt0101.htm,4
pt0101.htm,5
pt0101.htm,6
pt0101.htm,7
pt0101.htm,8
pt0101.htm,9
pt0101.htm,10
pt0101.htm,11
pt0101.htm,12
pt0101.htm,13
pt0101.htm,14
pt0101.htm,15
pt0101.htm,16
pt0101.htm,17
pt0101.htm,18
pt0101.htm,19
pt0101.htm,20
pt0101.htm,21
pt0101.htm,22
pt0101.htm,23
pt0101.htm,24
pt0101.htm,25
pt0101.htm,26
pt0101.htm,27
pt0101.htm,28
pt0101.htm,29
pt0101.htm,30
pt0101.htm,31
pt0102.htm,1
pt0102.htm,2
pt0102.htm,3
pt0102.htm,4
pt0102.htm,5
pt0102.htm,6
pt0102.htm,7
pt0102.htm,8
pt0102.htm,9
pt0102.htm,10
pt0102.htm,11
pt0102.htm,12
pt0102.htm,13
pt0102.htm,14
pt0102.htm,15
pt0102.htm,16
pt0102.htm,17
pt0102.htm,18
pt0102.htm,19
pt0102.htm,20
pt0102.htm,21
pt0102.htm,22
pt0102.htm,23
pt0102.htm,24
pt0102.htm,25
pt0103.htm,1
pt0103.htm,2
pt0103.htm,3
pt0103.htm,4
pt0103.htm,5
pt0103.htm,6
pt0103.htm,7
pt0103.htm,8
pt0103.htm,9
pt0103.htm,10
pt0103.htm,11
pt0103.htm,12
pt0103.htm,13
pt0103.htm,14
pt0103.htm,15
pt0103.htm,16
pt0103.htm,17
pt0103.htm,18
pt0103.htm,19
pt0103.htm,20
pt0103.htm,21
pt0103.htm,22
pt0103.htm,23
pt0103.htm,24
pt0104.htm,1
pt0104.htm,2
pt0104.htm,3
pt0104.htm,4
pt0104.htm,5
pt0104.htm,6
pt0104.htm,7
pt0104.htm,8
pt0104.htm,9
pt0104.htm,10
pt0104.htm,11
pt0104.htm,12
pt0104.htm,13
pt0104.htm,14
pt0104.htm,15
pt0104.htm,16
pt0104.htm,17
pt0104.htm,18
pt0104.htm,19
pt0104.htm,20
pt0104.htm,21
pt0104.htm,22
pt0104.htm,23
pt0104.htm,24
pt0104.htm,25
pt0104.htm,26
pt0105.htm,1
pt0105.htm,2
pt0105.htm,3
pt0105.htm,4
pt0105.htm,5
pt0105.htm,6
pt0105.htm,7
pt0105.htm,8
pt0105.htm,9
pt0105.htm,10
pt0105.htm,11
pt0105.htm,12
pt0105.htm,13
pt0105.htm,14
pt0105.htm,15
pt0105.htm,16
pt0105.htm,17
pt0105.htm,18
